CompositeId,Refactorings,Project,Previous Commit,Current Commit,Smell Type,Smell_Before,Smell After,Smells Added,Smells Removed,Smells Not Affected
236,"['Change Parameter Type', 'Rename Parameter', 'Change Variable Type', 'Change Parameter Type', 'Rename Parameter', 'Rename Parameter', 'Change Variable Type', 'Rename Parameter', 'Rename Parameter', 'Rename Method', 'Change Return Type', 'Rename Method', 'Rename Method', 'Change Return Type', 'Extract Method', 'Rename Method', 'Change Attribute Type', 'Change Return Type']",dubbo,fe562c3feeb2261b06b4c391e2077c2fc78d1a5d,9a20383885fad3f4a39ab23d37d20c55f533532d,IntensiveCoupling,2,3,1,0,0
236,"['Change Parameter Type', 'Rename Parameter', 'Change Variable Type', 'Change Parameter Type', 'Rename Parameter', 'Rename Parameter', 'Change Variable Type', 'Rename Parameter', 'Rename Parameter', 'Rename Method', 'Change Return Type', 'Rename Method', 'Rename Method', 'Change Return Type', 'Extract Method', 'Rename Method', 'Change Attribute Type', 'Change Return Type']",dubbo,fe562c3feeb2261b06b4c391e2077c2fc78d1a5d,9a20383885fad3f4a39ab23d37d20c55f533532d,DispersedCoupling,2,0,0,0,0
268,"['Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Extract Superclass', 'Pull Up Method']",dubbo,12e1532a725dd8704a72b61090a98edc9da3fcbc,4baa0aad39ff313be9037c2b1aaf34cac49ab6aa,LongParameterList,1,1,0,0,0
268,"['Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Extract Superclass', 'Pull Up Method']",dubbo,12e1532a725dd8704a72b61090a98edc9da3fcbc,4baa0aad39ff313be9037c2b1aaf34cac49ab6aa,FeatureEnvy,2,1,0,1,0
268,"['Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Extract Superclass', 'Pull Up Method']",dubbo,12e1532a725dd8704a72b61090a98edc9da3fcbc,4baa0aad39ff313be9037c2b1aaf34cac49ab6aa,MessageChain,1,1,0,0,0
293,"['Move Method', 'Move Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Extract Method', 'Change Variable Type', 'Rename Variable']",dubbo,c94ac7acfb4151e0d40ad4666f369ad47b690099,2245cf70bc89c229a387fd9aa59339bdb947f8d6,FeatureEnvy,7,6,0,1,0
293,"['Move Method', 'Move Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Extract Method', 'Change Variable Type', 'Rename Variable']",dubbo,c94ac7acfb4151e0d40ad4666f369ad47b690099,2245cf70bc89c229a387fd9aa59339bdb947f8d6,MessageChain,2,3,1,0,0
293,"['Move Method', 'Move Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Extract Method', 'Change Variable Type', 'Rename Variable']",dubbo,c94ac7acfb4151e0d40ad4666f369ad47b690099,2245cf70bc89c229a387fd9aa59339bdb947f8d6,LongMethod,2,1,0,1,0
293,"['Move Method', 'Move Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Extract Method', 'Change Variable Type', 'Rename Variable']",dubbo,c94ac7acfb4151e0d40ad4666f369ad47b690099,2245cf70bc89c229a387fd9aa59339bdb947f8d6,IntensiveCoupling,4,1,0,3,0
293,"['Move Method', 'Move Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Extract Method', 'Change Variable Type', 'Rename Variable']",dubbo,c94ac7acfb4151e0d40ad4666f369ad47b690099,2245cf70bc89c229a387fd9aa59339bdb947f8d6,DispersedCoupling,1,3,2,0,0
