Composite,Number of occurrence
"[Extract Method, Rename Parameter, Change Parameter Type, Rename Method, Change Variable Type]",1
"[Change Parameter Type, Rename Method]",15
"[Pull Up Method, Pull Up Attribute, Change Parameter Type, Change Parameter Type]",4
"[Extract Method, Extract Method, Change Parameter Type, Rename Parameter]",4
"[Pull Up Method, Rename Parameter, Rename Parameter]",6
"[Rename Variable, Rename Variable, Extract Method, Extract Method]",2
"[Extract Variable, Extract Variable, Extract Method, Extract Method, Extract Variable, Extract Variable, Extract Method]",1
"[Rename Parameter, Change Parameter Type, Rename Method]",4
"[Rename Variable, Change Variable Type, Change Variable Type, Change Variable Type]",1
"[Extract Method, Change Parameter Type, Rename Parameter, Rename Parameter]",8
"[Extract Method, Extract Method, Change Parameter Type, Extract Method]",5
"[Pull Up Method, Change Parameter Type, Pull Up Method, Rename Parameter, Pull Up Method]",1
"[Pull Up Method, Pull Up Method, Change Parameter Type, Rename Parameter, Rename Parameter]",1
"[Rename Parameter, Rename Attribute, Extract Method]",1
"[Extract Variable, Extract Variable, Extract Method]",11
"[Extract And Move Method, Extract And Move Method]",12
"[Extract Method, Rename Parameter]",102
"[Extract And Move Method, Change Attribute Type, Rename Parameter, Extract And Move Method]",2
"[Pull Up Method, Rename Variable, Pull Up Attribute, Change Parameter Type]",4
"[Change Variable Type, Rename Parameter, Extract Method]",4
"[Rename Attribute, Extract Method]",1
"[Change Variable Type, Extract And Move Method, Change Attribute Type, Rename Parameter]",2
"[Rename Parameter, Change Variable Type]",12
"[Extract Method, Extract Attribute]",31
"[Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method]",1
"[Extract Method, Extract Variable, Extract Variable, Extract Method]",4
"[Change Return Type, Change Return Type, Change Return Type, Change Return Type, Move Attribute, Change Return Type]",1
"[Change Variable Type, Extract Method]",16
"[Extract Method, Extract Method, Rename Variable, Extract Method, Extract Method]",1
"[Extract Variable, Extract Variable]",100
"[Extract Method, Rename Variable, Extract Method, Extract Method]",4
"[Change Parameter Type, Rename Parameter]",68
"[Rename Variable, Pull Up Attribute, Change Parameter Type]",8
"[Change Variable Type, Rename Parameter, Extract Method, Extract Method, Extract Attribute]",1
"[Move Attribute, Move Method, Move Attribute]",30
"[Rename Method, Rename Method, Rename Method]",46
"[Extract Method, Change Variable Type, Change Parameter Type, Rename Method, Change Variable Type]",1
"[Extract Variable, Rename Variable, Rename Variable]",21
"[Rename Method, Rename Parameter, Extract Attribute]",2
"[Change Parameter Type, Pull Up Method, Rename Parameter, Pull Up Method]",3
"[Pull Up Attribute, Change Parameter Type, Change Parameter Type]",6
"[Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Rename Method]",1
"[Rename Variable, Change Variable Type, Move Method]",1
"[Extract Method, Change Parameter Type]",79
"[Extract Variable, Rename Variable]",60
"[Rename Method, Extract Attribute]",7
"[Rename Parameter, Pull Up Method, Change Parameter Type, Pull Up Method, Pull Up Method, Rename Parameter, Pull Up Method]",1
"[Parameterize Variable, Extract Method]",1
"[Change Parameter Type, Pull Up Method]",22
"[Move Attribute, Move Attribute, Move Method, Move Method]",1
"[Rename Parameter, Extract Method, Extract Method, Rename Parameter]",3
"[Extract Method, Change Parameter Type, Extract Method, Extract Method, Extract Method, Change Parameter Type, Extract Method]",1
"[Extract Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method]",1
"[Pull Up Method, Rename Variable]",12
"[Change Parameter Type, Extract Method, Extract Method, Change Parameter Type, Extract Method]",2
"[Extract Method, Rename Parameter, Change Parameter Type]",2
"[Rename Method, Extract Method, Extract Attribute]",6
"[Change Attribute Type, Rename Parameter]",15
"[Pull Up Attribute, Extract Superclass]",46
"[Change Parameter Type, Rename Parameter, Pull Up Method]",3
"[Extract Variable, Extract Variable, Extract Variable, Extract Variable]",2
"[Pull Up Method, Pull Up Method, Pull Up Method, Rename Parameter]",1
"[Inline Variable, Rename Variable]",20
"[Extract Method, Extract Method, Extract Variable, Extract Method]",2
"[Pull Up Method, Change Parameter Type, Pull Up Method, Pull Up Method, Rename Parameter, Pull Up Method]",1
"[Change Return Type, Change Return Type]",80
"[Rename Variable, Rename Variable, Extract Method]",6
"[Extract Method, Extract Method, Change Parameter Type]",13
"[Change Variable Type, Rename Parameter, Extract Attribute]",2
"[Change Variable Type, Change Variable Type, Change Variable Type]",11
"[Change Variable Type, Rename Parameter, Change Parameter Type]",2
"[Change Parameter Type, Extract Method, Change Parameter Type, Extract Method]",3
"[Rename Variable, Change Variable Type, Extract Class, Change Variable Type, Change Variable Type]",2
"[Change Return Type, Move Attribute, Change Return Type]",16
"[Change Variable Type, Change Parameter Type]",8
"[Change Parameter Type, Change Parameter Type, Extract Method]",3
"[Pull Up Method, Rename Parameter, Pull Up Method]",13
"[Rename Variable, Change Parameter Type]",24
"[Rename Variable, Extract Class]",6
"[Pull Up Method, Rename Variable, Pull Up Attribute]",4
"[Change Variable Type, Change Variable Type, Extract Class, Change Variable Type]",2
"[Rename Variable, Change Variable Type, Change Variable Type, Extract Class, Change Variable Type, Change Variable Type]",1
"[Move Attribute, Move Attribute, Move Attribute, Move Method]",2
"[Change Parameter Type, Extract Method, Extract Method, Extract Method]",1
"[Move Attribute, Move Attribute, Move Attribute, Move Attribute]",2
"[Pull Up Attribute, Pull Up Method, Pull Up Attribute, Extract Superclass]",4
"[Extract Method, Change Variable Type, Rename Parameter, Change Parameter Type, Rename Method, Change Variable Type]",1
"[Move Method, Move Method, Move Attribute]",6
"[Rename Variable, Pull Up Attribute, Change Parameter Type, Change Parameter Type]",2
"[Extract Method, Extract Method, Extract Method]",81
"[Rename Variable, Change Variable Type]",22
"[Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Extract Superclass]",2
"[Rename Method, Rename Method, Rename Method, Rename Method]",12
"[Pull Up Method, Rename Parameter]",64
"[Change Parameter Type, Extract Method, Change Parameter Type]",4
"[Rename Method, Extract Method]",13
"[Change Variable Type, Rename Parameter, Extract And Move Method]",6
"[Change Return Type, Change Return Type, Move Attribute]",13
"[Change Parameter Type, Extract Method, Extract Method, Change Parameter Type]",1
"[Extract And Move Method, Change Attribute Type, Extract And Move Method]",4
"[Change Variable Type, Move Attribute, Move Method, Move Method]",1
"[Change Variable Type, Rename Parameter]",27
"[Pull Up Attribute, Pull Up Method, Pull Up Method, Rename Variable, Pull Up Attribute, Change Parameter Type, Change Parameter Type]",1
"[Change Variable Type, Move Attribute]",13
"[Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Extract Superclass]",1
"[Extract Variable, Rename Variable, Rename Variable, Rename Variable]",4
"[Change Variable Type, Rename Parameter, Rename Method, Change Variable Type]",1
"[Move Method, Move Method]",15
"[Change Parameter Type, Extract Method, Extract Method, Extract Method, Change Parameter Type, Extract Method]",1
"[Rename Variable, Extract Method, Extract Method]",13
"[Move Attribute, Move Attribute, Move Method]",17
"[Change Variable Type, Rename Parameter, Change Parameter Type, Rename Method]",1
"[Extract Variable, Extract Variable, Rename Variable, Rename Variable]",3
"[Extract Variable, Extract Method, Extract Variable, Extract Method]",2
"[Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter]",2
"[Inline Variable, Extract Variable, Extract Variable, Rename Variable, Rename Variable, Rename Variable]",1
"[Pull Up Method, Extract Method, Rename Parameter, Rename Parameter]",2
"[Rename Method, Extract Method, Extract Method, Extract Attribute]",2
"[Change Parameter Type, Pull Up Method, Rename Parameter]",5
"[Pull Up Attribute, Pull Up Method]",12
"[Rename Parameter, Extract Method, Rename Parameter]",6
