Composite Ids,Composite,Number of occurrence
[8],"[Move Method, Pull Up Method, Move Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Move Method, Pull Up Method, Pull Up Method, Move Method, Move Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method, Move Method, Move Method, Pull Up Method, Pull Up Method, Pull Up Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Pull Up Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method, Move Method, Move Method, Pull Up Method, Pull Up Method, Inline Method, Move Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method]",1
[55],"[Rename Variable, Change Variable Type, Extract Method]",1
[39],"[Change Variable Type, Extract Method, Change Attribute Type, Change Return Type, Change Variable Type, Change Attribute Type]",1
[102],"[Extract Variable, Parameterize Variable, Extract Method]",1
[59],"[Change Parameter Type, Extract Method, Extract Method, Extract Method, Parameterize Variable, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Parameter, Inline Method, Extract Method]",1
[73],"[Extract Method, Extract Method, Rename Method, Extract Variable, Extract Variable, Parameterize Variable, Extract Method, Parameterize Variable, Rename Variable, Extract Variable]",1
[15],"[Extract Method, Extract Method, Change Attribute Type, Rename Attribute, Extract Method, Extract Method, Extract Method, Extract Variable, Extract Method, Parameterize Variable, Extract Method, Extract Method, Extract Method, Parameterize Variable, Extract Method, Extract Method, Extract Variable, Change Return Type, Parameterize Variable, Extract Method]",1
[64],"[Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute]",1
[84],"[Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",1
[43],"[Extract Class, Move Method, Extract Method]",1
[1],"[Extract Method, Extract Method, Extract Variable, Rename Parameter]",1
[101],"[Parameterize Variable, Extract Method, Parameterize Variable]",1
[90],"[Extract Method, Rename Variable, Rename Variable, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Variable, Extract Method, Extract Method, Rename Variable]",1
