CompositeId,Refactorings,Project,Current Commit,Previous Commit,Smell Type,Smell_Before,Smell After,Smells Added,Smells Removed,Smells Not Affected
600,"['Move Class', 'Move Class', 'Rename Attribute', 'Change Attribute Type', 'Change Attribute Type', 'Move Method']",fresco,24cff66ee793caf9b8cb5e37c9a13d7bd4161c2b,9689960148faf8f91108e05d500417313787fc4e,LongMethod,2,1,0,1,0
600,"['Move Class', 'Move Class', 'Rename Attribute', 'Change Attribute Type', 'Change Attribute Type', 'Move Method']",fresco,24cff66ee793caf9b8cb5e37c9a13d7bd4161c2b,9689960148faf8f91108e05d500417313787fc4e,FeatureEnvy,1,1,0,0,0
600,"['Move Class', 'Move Class', 'Rename Attribute', 'Change Attribute Type', 'Change Attribute Type', 'Move Method']",fresco,24cff66ee793caf9b8cb5e37c9a13d7bd4161c2b,9689960148faf8f91108e05d500417313787fc4e,LongParameterList,4,3,0,1,0
615,"['Move Method', 'Extract Class', 'Move Method']",fresco,7243f011fa45910c784d66b46e4a82675816aff6,44ca7a113ce7f31999a77f2178abff3d502db72b,FeatureEnvy,1,0,0,0,0
615,"['Move Method', 'Extract Class', 'Move Method']",fresco,7243f011fa45910c784d66b46e4a82675816aff6,44ca7a113ce7f31999a77f2178abff3d502db72b,LongParameterList,0,1,1,0,0
687,"['Rename Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method']",fresco,96d74f385b297f364db1f719dd6ee61fc380d0d4,90be4641950eb781232579c10c6a9308f91354e6,LongMethod,2,1,0,1,0
687,"['Rename Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method']",fresco,96d74f385b297f364db1f719dd6ee61fc380d0d4,90be4641950eb781232579c10c6a9308f91354e6,FeatureEnvy,1,1,0,0,0
687,"['Rename Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method']",fresco,96d74f385b297f364db1f719dd6ee61fc380d0d4,90be4641950eb781232579c10c6a9308f91354e6,LongParameterList,4,4,0,0,0
698,"['Move Attribute', 'Move Attribute', 'Move Method']",fresco,d7cd92bfb6ae24ca8b4db34f28cb5706890bfa77,e720a81d391eecbb024607d8ee4b8ec4cc0a2041,FeatureEnvy,2,2,0,0,0
698,"['Move Attribute', 'Move Attribute', 'Move Method']",fresco,d7cd92bfb6ae24ca8b4db34f28cb5706890bfa77,e720a81d391eecbb024607d8ee4b8ec4cc0a2041,LongMethod,1,0,0,0,0
698,"['Move Attribute', 'Move Attribute', 'Move Method']",fresco,d7cd92bfb6ae24ca8b4db34f28cb5706890bfa77,e720a81d391eecbb024607d8ee4b8ec4cc0a2041,LongParameterList,2,0,0,0,0
724,"['Move Attribute', 'Move Attribute', 'Move Method']",fresco,a30ce0c7c842bfe56387a1ebc419baed5f3bcfe9,848af2566cd595d17ac63162217ec1ce24d76946,FeatureEnvy,1,2,1,0,0
724,"['Move Attribute', 'Move Attribute', 'Move Method']",fresco,a30ce0c7c842bfe56387a1ebc419baed5f3bcfe9,848af2566cd595d17ac63162217ec1ce24d76946,LongMethod,1,0,0,0,0
724,"['Move Attribute', 'Move Attribute', 'Move Method']",fresco,a30ce0c7c842bfe56387a1ebc419baed5f3bcfe9,848af2566cd595d17ac63162217ec1ce24d76946,IntensiveCoupling,1,0,0,0,0
724,"['Move Attribute', 'Move Attribute', 'Move Method']",fresco,a30ce0c7c842bfe56387a1ebc419baed5f3bcfe9,848af2566cd595d17ac63162217ec1ce24d76946,DispersedCoupling,0,2,1,0,0
731,"['Pull Up Method', 'Extract Method', 'Pull Up Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Method', 'Extract Method', 'Pull Up Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Extract Superclass', 'Pull Up Method', 'Pull Up Method', 'Pull Up Attribute']",fresco,a86a40f228d9ed4d2c649dd6ef41d7ca9553faab,449d53a6e7dd20bcdb0ec337bef2c24e204d54a9,FeatureEnvy,1,0,0,0,0
731,"['Pull Up Method', 'Extract Method', 'Pull Up Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Method', 'Extract Method', 'Pull Up Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Extract Superclass', 'Pull Up Method', 'Pull Up Method', 'Pull Up Attribute']",fresco,a86a40f228d9ed4d2c649dd6ef41d7ca9553faab,449d53a6e7dd20bcdb0ec337bef2c24e204d54a9,LongParameterList,1,2,1,0,0
768,"['Extract Method', 'Rename Variable', 'Extract Method', 'Extract Method']",fresco,c0d849ba668782b863351c958468e991a00fdd75,89f71c01fe3e01603a9fcf13c09c2b2e1f5b46d4,FeatureEnvy,1,0,0,0,0
768,"['Extract Method', 'Rename Variable', 'Extract Method', 'Extract Method']",fresco,c0d849ba668782b863351c958468e991a00fdd75,89f71c01fe3e01603a9fcf13c09c2b2e1f5b46d4,LongParameterList,1,1,0,0,0
768,"['Extract Method', 'Rename Variable', 'Extract Method', 'Extract Method']",fresco,c0d849ba668782b863351c958468e991a00fdd75,89f71c01fe3e01603a9fcf13c09c2b2e1f5b46d4,IntensiveCoupling,1,1,0,0,0
