Composite,Number of occurrence
"[Extract Method, Inline Method, Extract Method, Inline Method, Inline Method, Inline Method, Extract Method, Inline Method, Change Return Type, Inline Method, Extract Method, Extract Method, Extract Method, Extract Method, Change Return Type, Extract Method, Inline Method, Inline Method, Inline Method, Inline Variable, Extract Variable, Extract Method, Parameterize Variable, Inline Method, Change Return Type, Rename Variable, Extract Method, Change Variable Type, Extract Variable, Extract Variable, Change Return Type]",1
"[Rename Method, Extract Method, Extract Method, Extract Method, Rename Method]",1
"[Rename Variable, Extract Method]",8
"[Change Attribute Type, Change Variable Type, Change Return Type, Rename Variable, Extract Method]",1
"[Change Return Type, Rename Method, Rename Method, Rename Method, Change Variable Type, Rename Method, Rename Method, Extract Method, Rename Method, Rename Method, Rename Method, Rename Method, Extract Method]",1
"[Move Method, Move Attribute, Change Parameter Type, Move Method, Extract Method, Rename Parameter, Move Attribute, Change Parameter Type, Move Attribute, Extract Method, Rename Attribute, Extract Method, Rename Parameter, Extract Class, Extract Class, Change Return Type, Change Parameter Type, Move Method, Move Method, Move Attribute, Change Parameter Type, Move Attribute, Rename Attribute, Rename Parameter, Change Parameter Type, Extract Method, Change Return Type, Change Parameter Type, Change Parameter Type, Rename Attribute, Change Attribute Type, Move Attribute, Rename Attribute, Rename Attribute, Rename Parameter]",1
"[Move Method, Move Method, Move Method, Move Method, Move Method, Extract Class, Move Method, Move Method]",1
"[Extract Variable, Extract Method, Extract Method]",4
"[Change Parameter Type, Move Method, Change Parameter Type, Rename Parameter]",1
"[Extract Method, Rename Parameter, Extract Method, Extract Method, Extract Method]",1
"[Change Attribute Type, Extract Method, Extract Method, Extract Method, Change Attribute Type, Rename Variable, Extract Method]",1
"[Change Variable Type, Change Variable Type, Change Parameter Type, Extract Class, Change Attribute Type, Rename Parameter, Extract Method, Rename Parameter, Parameterize Variable, Extract Method, Change Variable Type, Rename Attribute, Extract Method, Change Attribute Type, Change Return Type, Change Attribute Type, Rename Variable, Rename Variable, Change Parameter Type, Extract Method, Rename Variable, Parameterize Variable, Change Variable Type]",1
"[Extract Method, Rename Variable, Parameterize Variable, Extract Method, Rename Variable, Extract Method, Rename Variable, Extract Method, Parameterize Variable, Rename Variable, Parameterize Variable, Parameterize Variable]",1
"[Extract Superclass, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute]",1
"[Change Return Type, Pull Up Method, Pull Up Method]",1
"[Extract Method, Change Variable Type, Change Variable Type, Rename Method, Change Variable Type, Change Variable Type]",1
"[Extract Method, Extract Method, Change Attribute Type, Rename Attribute]",1
"[Change Variable Type, Extract Method, Rename Variable]",3
"[Change Variable Type, Extract Method, Rename Method, Rename Method, Rename Variable]",1
"[Extract Method, Rename Variable, Merge Parameter, Change Return Type, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Change Return Type, Extract Variable]",1
"[Inline Method, Rename Variable, Extract Method, Extract Method, Extract Method, Extract Method]",1
"[Extract Method, Extract Method, Extract Method, Change Variable Type, Extract Method]",1
"[Rename Method, Change Attribute Type, Extract Method, Extract Variable]",1
"[Rename Parameter, Rename Attribute, Extract Method, Move Attribute]",1
"[Move Method, Extract Method, Extract Method, Move Method]",1
"[Push Down Attribute, Extract Method]",1
"[Rename Method, Change Return Type, Change Variable Type, Rename Variable, Rename Variable, Change Return Type, Change Variable Type, Inline Variable, Rename Method, Change Return Type, Change Variable Type, Inline Variable, Rename Parameter, Pull Up Method, Change Variable Type]",1
"[Extract Method, Move Method]",1
"[Rename Attribute, Rename Attribute, Extract Method]",1
"[Extract Method, Extract Method, Inline Variable, Extract Method, Parameterize Variable, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",1
"[Inline Method, Extract Method]",2
"[Move Method, Move Method, Move Method]",1
"[Extract Variable, Parameterize Variable, Extract Method]",1
"[Change Parameter Type, Extract Method, Extract Method, Extract Method, Parameterize Variable, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Parameter, Inline Method, Extract Method]",1
"[Extract Method, Extract Method, Rename Method, Extract Variable, Extract Variable, Parameterize Variable, Extract Method, Parameterize Variable, Rename Variable, Extract Variable]",1
"[Extract Method, Extract Method, Change Attribute Type, Rename Attribute, Extract Method, Extract Method, Extract Method, Extract Variable, Extract Method, Parameterize Variable, Extract Method, Extract Method, Extract Method, Parameterize Variable, Extract Method, Extract Method, Extract Variable, Change Return Type, Parameterize Variable, Extract Method]",1
"[Pull Up Attribute, Move Attribute, Extract Class, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Method, Move Attribute, Pull Up Method]",1
"[Rename Method, Move Attribute, Move Attribute, Move Method, Move Method, Move Method, Extract Class, Rename Parameter, Move Method, Move Attribute, Change Parameter Type, Rename Variable, Move Method]",1
"[Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",1
"[Extract Class, Move Method, Extract Method]",1
"[Rename Variable, Rename Variable, Rename Method, Change Parameter Type, Change Variable Type, Change Variable Type, Extract Method, Rename Variable, Change Variable Type, Rename Parameter, Change Variable Type, Change Variable Type]",1
"[Move Method, Move Method, Move Method, Rename Parameter, Move Method, Rename Method, Move Method]",1
"[Rename Variable, Move Method, Move Method, Move Method, Move Class, Change Variable Type, Rename Variable, Rename Attribute, Rename Attribute, Rename Method, Rename Variable]",1
"[Parameterize Variable, Extract Method, Parameterize Variable]",1
"[Rename Variable, Rename Method, Rename Variable, Rename Attribute, Change Return Type, Rename Parameter, Rename Method, Change Parameter Type, Extract Method, Rename Parameter, Change Parameter Type, Rename Attribute, Rename Variable, Change Variable Type, Rename Variable, Change Attribute Type, Rename Variable]",1
"[Extract Method, Rename Variable, Rename Variable, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Variable, Extract Method, Extract Method, Rename Variable]",1
"[Move Method, Move Method, Move Method, Extract Class]",1
"[Rename Method, Move Method, Change Variable Type, Move Method, Move Method, Change Variable Type, Change Variable Type, Rename Method, Change Variable Type, Rename Method, Change Variable Type, Rename Method, Move Method, Extract Class, Move Method, Move Method, Move Method, Change Variable Type, Change Variable Type, Change Variable Type, Move Method, Change Variable Type, Move Method, Move Method, Move Method]",1
"[Change Attribute Type, Extract Method, Rename Attribute]",2
"[Pull Up Method, Rename Variable, Pull Up Attribute]",1
"[Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method]",1
"[Extract Attribute, Change Return Type, Extract Attribute, Extract Attribute, Extract Attribute, Rename Variable, Extract Method, Extract Variable, Rename Variable, Extract Method, Extract Attribute, Extract Attribute, Rename Variable, Extract Attribute, Extract Attribute, Extract Attribute]",1
"[Extract Method, Rename Parameter, Extract Method, Rename Variable, Rename Parameter, Extract Method]",1
"[Rename Parameter, Change Variable Type, Change Parameter Type, Rename Attribute, Inline Method, Change Variable Type, Merge Attribute, Split Attribute, Rename Attribute, Change Return Type, Inline Method, Rename Variable, Extract Method, Rename Parameter, Rename Attribute, Move Method, Rename Method, Move Method, Rename Variable, Rename Parameter, Split Attribute, Split Attribute, Rename Method, Change Variable Type, Inline Method, Change Return Type, Change Parameter Type, Rename Attribute, Merge Attribute, Change Return Type, Extract Method, Change Attribute Type, Change Attribute Type, Rename Method]",1
"[Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Parameter, Extract Method, Change Parameter Type, Change Parameter Type, Extract Method, Extract Method, Extract Method, Extract Variable, Extract Method, Extract Method, Extract Method, Rename Parameter, Extract Method, Change Return Type, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Parameter, Change Parameter Type, Extract Method, Extract Variable, Extract Method, Extract Method, Extract Variable, Rename Method, Rename Parameter, Rename Parameter, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Change Parameter Type, Extract Method, Change Parameter Type, Extract Method, Extract Method, Extract Method, Extract Method, Change Return Type, Change Parameter Type, Extract Method, Change Parameter Type, Rename Parameter, Change Parameter Type, Extract Method, Change Parameter Type, Change Parameter Type, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Parameter, Rename Parameter, Change Parameter Type, Rename Parameter, Extract Method, Extract Method, Rename Parameter, Change Parameter Type, Extract Variable, Extract Method, Change Return Type, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Class, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Parameter, Extract Method, Extract Method, Rename Parameter, Extract Method, Rename Parameter, Extract Method, Extract Method, Rename Attribute, Extract Method, Extract Method, Change Parameter Type, Extract Method, Extract Method, Extract Method]",1
"[Move Method, Move Method, Rename Class]",1
"[Parameterize Variable, Rename Parameter, Change Parameter Type, Rename Parameter, Rename Parameter, Rename Parameter, Change Parameter Type, Change Parameter Type, Change Variable Type, Change Variable Type, Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Change Return Type, Change Variable Type, Change Variable Type, Change Attribute Type, Change Attribute Type, Rename Variable, Rename Parameter, Extract Method, Change Parameter Type, Change Variable Type, Change Return Type, Change Return Type]",1
"[Rename Parameter, Move Attribute, Move Method, Change Parameter Type, Move Attribute]",1
"[Rename Attribute, Change Attribute Type, Rename Attribute, Rename Attribute, Change Attribute Type, Move Method, Move Method, Move Attribute, Move Method, Move Method, Move Attribute, Change Attribute Type, Move Attribute, Move Method, Rename Attribute, Move Method, Move Method]",1
